valid_loss,valid_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
11.314827919006348,0.0,0,0,,,,
2.302729368209839,0.5090909004211426,0,6,,,,
2.3027279376983643,0.5090909004211426,1,12,,,,
2.302726984024048,0.5090909004211426,2,18,,,,
2.3027257919311523,0.5090909004211426,3,24,,,,
2.302724599838257,0.5090909004211426,4,30,,,,
2.3027236461639404,0.5090909004211426,5,36,,,,
2.302722692489624,0.5090909004211426,6,42,,,,
2.3027217388153076,0.5090909004211426,7,48,,,,
,,8,49,2.3040881156921387,0.4000000059604645,,
,,9,51,,,2.3025853633880615,0.6363636255264282
